experiment,n,algorithm,mean_time,std_time,relative_error
Exp1,100,Quick Sort,9.9650037009269e-05,7.824947401960356e-06,0.07852427993812501
Exp1,100,Quick Sort 3-Way,0.00012031999649479986,4.582083247960307e-05,0.3808247491229225
Exp1,100,Counting Sort,0.016525449976325036,0.00134570330778976,0.08143217338817786
Exp1,100,Merge Sort,0.00015264999819919467,7.005190427683288e-05,0.45890537244174334
Exp1,107,Quick Sort,0.00014670002274215222,4.379588898818737e-05,0.2985404376191908
Exp1,107,Quick Sort 3-Way,0.0001131500001065433,2.7548703373323718e-05,0.24347064381249273
Exp1,107,Counting Sort,0.01620264000957832,0.0014455288056210319,0.08921563428962785
Exp1,107,Merge Sort,0.00019861001055687666,3.409477478255521e-05,0.17166695015501932
Exp1,114,Quick Sort,0.00013154998887330294,1.4214361194156481e-05,0.1080529258565462
Exp1,114,Quick Sort 3-Way,0.00013087999541312457,2.5411308010154086e-05,0.1941573112830798
Exp1,114,Counting Sort,0.01608047002227977,0.0007358137039539442,0.0457582211797579
Exp1,114,Merge Sort,0.00021398999961093064,7.500320888987424e-05,0.3504986636115825
Exp1,123,Quick Sort,0.00014267998049035665,1.2962939553500882e-05,0.09085324730877022
Exp1,123,Quick Sort 3-Way,0.00013850997202098368,2.1912292030709554e-05,0.1582001043750838
Exp1,123,Counting Sort,0.0156650299904868,0.0003312880877148988,0.021148257482819146
Exp1,123,Merge Sort,0.00018217997858300803,2.3982839135965227e-05,0.13164365987142623
Exp1,132,Quick Sort,0.00018629999831318856,5.820714465363114e-05,0.3124377089675504
Exp1,132,Quick Sort 3-Way,0.0002270700060762465,0.00022569996812309826,0.9939664512419654
Exp1,132,Counting Sort,0.01588286999613047,0.0005250931559445677,0.033060344640011265
Exp1,132,Merge Sort,0.00019656999502331017,2.3788249550545745e-05,0.12101668694515064
Exp1,141,Quick Sort,0.00015520000597462057,1.4515603287551796e-05,0.09352836809765003
Exp1,141,Quick Sort 3-Way,0.00017447002464905382,5.134141846724947e-05,0.29427071252223785
Exp1,141,Counting Sort,0.016148279979825018,0.0008381622976100268,0.051904122213461225
Exp1,141,Merge Sort,0.00021831998601555829,4.5347565162777374e-06,0.020771146971191975
Exp1,151,Quick Sort,0.00019404999911785126,3.279339161793714e-05,0.16899454659631777
Exp1,151,Quick Sort 3-Way,0.00016887999372556807,9.25016548547136e-06,0.05477360154633227
Exp1,151,Counting Sort,0.015420430013909936,0.0003298882162419964,0.021392932359501134
Exp1,151,Merge Sort,0.0002576300175860524,8.327100373880006e-05,0.3232193380221552
Exp1,162,Quick Sort,0.00017923000268638134,2.0309745869267033e-05,0.11331666330890623
Exp1,162,Quick Sort 3-Way,0.00017289002425968647,1.853741611050313e-05,0.10722085435455388
Exp1,162,Counting Sort,0.016361870011314752,0.0008306908843685268,0.05076992322968449
Exp1,162,Merge Sort,0.00025413000257685776,7.888735532880989e-06,0.03104212589182641
Exp1,174,Quick Sort,0.0002832200145348906,0.0001020643474801812,0.3603712387621802
Exp1,174,Quick Sort 3-Way,0.00023630002979189153,5.726847432900977e-05,0.24235491793820715
Exp1,174,Counting Sort,0.021925879979971797,0.012137129494773998,0.5535526740938408
Exp1,174,Merge Sort,0.0006878400105051697,0.00035917176121693414,0.52217340621571
Exp1,187,Quick Sort,0.00037437999853864314,0.00016869194153125533,0.45059015489536924
Exp1,187,Quick Sort 3-Way,0.00024169000098481778,6.794310488869392e-05,0.28111673884664307
Exp1,187,Counting Sort,0.017393970000557597,0.0009168779134749556,0.05271240052992866
Exp1,187,Merge Sort,0.0008226700127124785,0.0005202091518051044,0.6323424262054832
Exp1,200,Quick Sort,0.00028827000642195344,9.073916292637294e-05,0.3147714327017222
Exp1,200,Quick Sort 3-Way,0.00038841000059619546,0.0002147477329306508,0.5528892989393185
Exp1,200,Counting Sort,0.017090629995800556,0.000948770357447492,0.055514065758876074
Exp1,200,Merge Sort,0.000389680010266602,0.00014728504640353407,0.37796407956047856
Exp1,215,Quick Sort,0.00040885000489652155,0.0002221563265017389,0.5433687754460609
Exp1,215,Quick Sort 3-Way,0.00023869000142440205,1.6553466419482822e-05,0.06935131895219179
Exp1,215,Counting Sort,0.01682884002802893,0.0006192396969405629,0.03679633866084655
Exp1,215,Merge Sort,0.0003380500129424036,2.0821395072024855e-05,0.06159264687137394
Exp1,231,Quick Sort,0.0003827999928034842,0.00012060109981680794,0.31504990095106983
Exp1,231,Quick Sort 3-Way,0.0002662800136022269,3.198346078906776e-05,0.12011213442720163
Exp1,231,Counting Sort,0.01650139999110252,0.0006898687090019232,0.04180667757729025
Exp1,231,Merge Sort,0.0003816000069491565,4.529864668152572e-05,0.11870714323011322
Exp1,247,Quick Sort,0.0004012499935925007,0.00017890051749771976,0.44585799465309545
Exp1,247,Quick Sort 3-Way,0.0004306699964217842,0.00021809975939295602,0.5064196744724149
Exp1,247,Counting Sort,0.016461559978779405,0.0004720609176985031,0.028676560320348543
Exp1,247,Merge Sort,0.0004172799875959754,6.0615352031137634e-05,0.14526302203073174
Exp1,265,Quick Sort,0.000448670017067343,0.0001483042411120644,0.33054190266920536
Exp1,265,Quick Sort 3-Way,0.0003127699834294617,1.651207272301614e-05,0.052793022341736544
Exp1,265,Counting Sort,0.016212559980340303,0.0005807785819099902,0.03582275609862075
Exp1,265,Merge Sort,0.000464599987026304,4.291024029995653e-05,0.09235953830865497
Exp1,284,Quick Sort,0.00041712999809533357,0.00011862915798699431,0.28439373463589174
Exp1,284,Quick Sort 3-Way,0.000359770015347749,4.9115664956250564e-05,0.13651961770292614
Exp1,284,Counting Sort,0.016462039994075896,0.001060291995209004,0.06440829906807209
Exp1,284,Merge Sort,0.0005871800123713911,8.224826263610288e-05,0.14007333509860836
Exp1,305,Quick Sort,0.00048795997863635413,7.97736607208064e-05,0.16348402371797113
Exp1,305,Quick Sort 3-Way,0.0004257399821653962,6.187083602285e-05,0.14532540662063947
Exp1,305,Counting Sort,0.015757459960877896,0.000746840319317493,0.04739598394485683
Exp1,305,Merge Sort,0.0005618999944999813,0.00015921034712565603,0.28334285225849265
Exp1,327,Quick Sort,0.0004548999830149114,9.586121941462554e-05,0.21073032093624688
Exp1,327,Quick Sort 3-Way,0.00043334998190402985,9.777167331393123e-05,0.22561827021279038
Exp1,327,Counting Sort,0.016003820009063932,0.0005758465569967369,0.0359818191325946
Exp1,327,Merge Sort,0.0005482499836944044,3.485059576521521e-05,0.0635669800304837
Exp1,351,Quick Sort,0.0004933499963954091,9.405817409828104e-05,0.19065202145637697
Exp1,351,Quick Sort 3-Way,0.00045147999189794065,5.882301232310015e-05,0.13028930047557322
Exp1,351,Counting Sort,0.01616929001174867,0.0008488267990719307,0.05249623195917506
Exp1,351,Merge Sort,0.0007001200458034873,0.00010093558151964365,0.1441689637722138
Exp1,376,Quick Sort,0.0005916199996136128,0.0003595171869627317,0.6076826124835747
Exp1,376,Quick Sort 3-Way,0.0004541499889455735,0.00011925263707340673,0.26258425625041304
Exp1,376,Counting Sort,0.01569746999302879,0.000623621801037184,0.03972753579488498
Exp1,376,Merge Sort,0.0005950899911113083,6.56066402570022e-05,0.11024658662882945
Exp1,403,Quick Sort,0.0005654599866829812,3.8037559844044904e-05,0.06726834920216951
Exp1,403,Quick Sort 3-Way,0.000567099975887686,0.00010607601760166517,0.1870499420064752
Exp1,403,Counting Sort,0.015786139992997047,0.0007890139047505703,0.04998143340300973
Exp1,403,Merge Sort,0.000741939980071038,8.828952449937733e-05,0.11899820318474269
Exp1,432,Quick Sort,0.0006116899778135121,6.239039958386062e-05,0.10199676608545281
Exp1,432,Quick Sort 3-Way,0.0005074999760836362,2.3457036780606104e-05,0.04622076430746545
Exp1,432,Counting Sort,0.016018189990427343,0.0005760425510165407,0.03596177541662263
Exp1,432,Merge Sort,0.0008196799783036113,0.0001037559731884524,0.1265810754621372
Exp1,464,Quick Sort,0.0006730799912475049,8.252377346560043e-05,0.12260619025778587
Exp1,464,Quick Sort 3-Way,0.0005947400117293,7.212105649961699e-05,0.12126484695373646
Exp1,464,Counting Sort,0.016130999999586493,0.0006017341073842995,0.03730296369721186
Exp1,464,Merge Sort,0.001995480014011264,0.001051222770872498,0.5268019541620748
Exp1,497,Quick Sort,0.0007969999918714165,0.0003703525291661135,0.464683228285232
Exp1,497,Quick Sort 3-Way,0.001255260012112558,0.0008569312741315828,0.6826723275358688
Exp1,497,Counting Sort,0.015457190002780407,0.0003089687253699587,0.01998867357614043
Exp1,497,Merge Sort,0.0008640299900434911,0.00022225747032371355,0.2572335137493621
Exp1,533,Quick Sort,0.0007743099937215448,9.709834097209565e-05,0.12539982921493054
