experiment,m,algorithm,mean_time,std_time,relative_error
Exp2,10,Quick Sort,-0.0002654399839229875,0.0009724147562347106,0.0
Exp2,10,Quick Sort 3-Way,-0.0008789299754425877,0.0009932303474925576,0.0
Exp2,10,Counting Sort,-0.00230208997381851,0.0017990083782733926,0.0
Exp2,10,Merge Sort,0.03004733002744615,0.011912305143038692,0.3964513696277715
Exp2,11,Quick Sort,0.004661900002975017,0.002197264966744521,0.4713239162878492
Exp2,11,Quick Sort 3-Way,0.0022853400208987296,0.0005367775491469427,0.23487863698105207
Exp2,11,Counting Sort,0.0006125500076450411,0.0003120399257447018,0.5094113490331093
Exp2,11,Merge Sort,0.026359510014299304,0.0021715106984482556,0.0823805411128762
Exp2,12,Quick Sort,0.002976100007072091,0.000296089860409474,0.09948921733338167
Exp2,12,Quick Sort 3-Way,0.0018902599811553955,0.00027596778919238734,0.14599462081597148
Exp2,12,Counting Sort,0.001256649976130575,0.0015309989780867813,1.2183177552757933
Exp2,12,Merge Sort,0.026145720004569738,0.0018113827289782454,0.06928027717965513
Exp2,14,Quick Sort,0.002987640001811087,0.00022946177578915964,0.0768036897517979
Exp2,14,Quick Sort 3-Way,0.0026785699999891223,0.0012059951901475055,0.45023844445073413
Exp2,14,Counting Sort,0.0006052000215277075,0.0003936815436604288,0.6504982314221631
Exp2,14,Merge Sort,0.026192890002857894,0.001727101700745873,0.0659378060442139
Exp2,15,Quick Sort,0.003791579988319427,0.0015067434812000048,0.39739198061013375
Exp2,15,Quick Sort 3-Way,0.002194039977621287,0.00030983912219345686,0.1412185399326111
Exp2,15,Counting Sort,0.0006065200199373068,0.0003292470062027033,0.5428460650593793
Exp2,15,Merge Sort,0.026011659996584058,0.0014691096003513924,0.056478886797087194
Exp2,17,Quick Sort,0.0030973399872891603,0.00042266707049148125,0.13646130945457038
Exp2,17,Quick Sort 3-Way,0.001888459990732372,0.0002762700445208082,0.14629382982779884
Exp2,17,Counting Sort,0.0005561400088481608,0.0014576937031592393,2.6210912359610936
Exp2,17,Merge Sort,0.028180060000158845,0.0051020228668807125,0.1810508163166421
Exp2,20,Quick Sort,0.003946429991628975,0.0021216768287512754,0.5376192744459423
