experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,100,Quick Sort,0.0003582499921321869,0.000167161225937492,0.4666049675049621
Exp3,100,Quick Sort 3-Way,0.0005199899896979331,0.00016829087656004073,0.32364253138373383
Exp3,100,Counting Sort,0.019721730006858708,0.004725496885279569,0.23960863898026002
Exp3,100,Merge Sort,7.603999692946672e-05,5.408581029234493e-06,0.07112810688631921
Exp3,107,Quick Sort,0.0001396800274960697,5.875369599898177e-05,0.4206306159313648
Exp3,107,Quick Sort 3-Way,0.00011759001063182953,4.0829902963941635e-06,0.034722254674998475
Exp3,107,Counting Sort,0.017562560026999564,0.002003440735732828,0.1140745274409235
Exp3,107,Merge Sort,0.00012472000671550634,4.439431606958682e-06,0.035595184155861104
Exp3,114,Quick Sort,9.1890012845397e-05,2.389334806999579e-06,0.026002116367309515
Exp3,114,Quick Sort 3-Way,0.00013968999264761804,3.034178763661898e-05,0.21720802658469007
Exp3,114,Counting Sort,0.017483969999011608,0.0024465831358359597,0.1399329291902393
Exp3,114,Merge Sort,0.00014314999571070076,1.451867966235421e-05,0.10142284385181373
Exp3,123,Quick Sort,0.0001221299869939685,3.519704816199799e-05,0.2881933342360565
Exp3,123,Quick Sort 3-Way,0.00014016997301951052,1.3082681569403718e-05,0.09333440884363098
Exp3,123,Counting Sort,0.015701559989247472,0.0003303203063346788,0.021037419629698212
Exp3,123,Merge Sort,0.00017301000189036132,4.546458162391939e-05,0.26278585704386553
Exp3,132,Quick Sort,0.00010890000266954303,2.1709071666189617e-05,0.19934867891661837
Exp3,132,Quick Sort 3-Way,0.0001430600299499929,7.205471072060025e-06,0.05036676613711545
Exp3,132,Counting Sort,0.01623563002794981,0.0015881194006191297,0.09781692474423015
Exp3,132,Merge Sort,0.00015039999270811678,1.4340079930160702e-05,0.09534628075408674
Exp3,141,Quick Sort,0.00011889002053067085,1.871236049932019e-05,0.15739218830812496
Exp3,141,Quick Sort 3-Way,0.0001579100149683654,1.803180692985657e-05,0.1141903946590654
Exp3,141,Counting Sort,0.015509359992574901,0.0004265871089469729,0.027505139422336015
Exp3,141,Merge Sort,0.0009133600047789514,0.0013021116793832338,1.4256280903151293
Exp3,151,Quick Sort,0.00012492998503148555,1.3753793093267499e-05,0.11009200945474533
Exp3,151,Quick Sort 3-Way,0.00022814997937530278,0.00010632176756503332,0.4660169939798059
Exp3,151,Counting Sort,0.015555819997098297,0.0003360880108615111,0.021605290555187912
Exp3,151,Merge Sort,0.00019087997497990727,2.3961406219052028e-05,0.12553127284082205
Exp3,162,Quick Sort,0.0001321599935181439,2.3721020136681475e-05,0.17948714664112692
Exp3,162,Quick Sort 3-Way,0.00017032999312505126,2.6746691897321132e-05,0.1570286677442915
Exp3,162,Counting Sort,0.018196640035603194,0.0036574698385326925,0.2009969879811085
Exp3,162,Merge Sort,0.00021529999794438486,4.8218448507342985e-05,0.22395935423928112
Exp3,174,Quick Sort,0.00015207999385893344,3.355963075445936e-06,0.02206709107681096
Exp3,174,Quick Sort 3-Way,0.00019805998308584095,1.0664321492711017e-05,0.05384389782608941
Exp3,174,Counting Sort,0.01620024999137968,0.0017165969165411127,0.10596113747963962
