experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,231,Sort,2.9899983201175927e-05,6.281887801581482e-06,0.21009670003207306
Exp3,247,Quick Sort,0.0005046300124377013,9.578767202093923e-06,0.01898176280840304
Exp3,247,Quick Sort 3-Way,0.0002915100194513798,0.00015442768627008072,0.5297508694922829
Exp3,247,Counting Sort,0.019022720016073434,0.002593044382525412,0.13631301834513643
Exp3,247,Merge Sort,0.00021751000313088297,1.4764318615611306e-05,0.06787880282787329
Exp3,247,Sort,-8.389998693019152e-05,2.9982577012222813e-06,0.0
Exp3,265,Quick Sort,0.0002512899460271001,1.092967245823887e-05,0.043494268796015305
Exp3,265,Quick Sort 3-Way,0.00033992994576692587,3.465018899632841e-05,0.10193332310912799
Exp3,265,Counting Sort,0.019906749972142278,0.003535488907704561,0.17760251736984503
Exp3,265,Merge Sort,0.0003715899423696101,1.1236448366409906e-05,0.030238838798369107
Exp3,265,Sort,3.1709962058812393e-05,4.080703310634233e-06,0.12868836938580255
Exp3,284,Quick Sort,0.0002842099987901747,3.7071336825393517e-06,0.013043642723056475
Exp3,284,Quick Sort 3-Way,0.0006109600188210606,0.00025308002324602087,0.41423336298564495
Exp3,284,Counting Sort,0.01870389999821782,0.003498083647184062,0.18702429159252204
Exp3,284,Merge Sort,0.00034237002255395056,1.3867722999201088e-05,0.0405050737087118
Exp3,284,Sort,1.114999176934362e-05,1.2090509549222155e-05,1.0843514326588515
Exp3,305,Quick Sort,0.00026735999854281544,1.468933210364916e-05,0.05494214610902905
Exp3,305,Quick Sort 3-Way,0.00036573999095708133,1.2169291763329715e-05,0.033273068475461715
Exp3,305,Counting Sort,0.01776465999428183,0.002287409324740872,0.12876178465994587
Exp3,305,Merge Sort,0.0004035099875181913,3.1408677515940186e-06,0.007783866196006907
Exp3,305,Sort,1.9259972032159573e-05,7.514696220428529e-06,0.39017170990076067
Exp3,327,Quick Sort,0.0004509699996560812,0.00022444081097697138,0.497684571364247
Exp3,327,Quick Sort 3-Way,0.000590150011703372,0.0002728853686933905,0.4624000055608764
Exp3,327,Counting Sort,0.018130190041847526,0.0037468011663017754,0.2066608875943125
Exp3,327,Merge Sort,0.00040000000735744833,8.617351119031002e-06,0.021543377401316788
Exp3,327,Sort,2.634000265970826e-05,2.9115959960627623e-05,1.1053894085274973
Exp3,351,Quick Sort,0.00036756000481545924,5.794680383187376e-05,0.15765263650207834
Exp3,351,Quick Sort 3-Way,0.00041435000021010636,1.0961419021889544e-05,0.026454492618152012
Exp3,351,Counting Sort,0.016173690010327847,0.002201583261488585,0.13612127226889753
Exp3,351,Merge Sort,0.00047170999459922325,4.402716887376564e-05,0.09333524703281354
Exp3,351,Sort,2.92000244371593e-05,1.054523241220648e-06,0.03611377940761876
Exp3,376,Quick Sort,0.0006886500050313771,0.00030420922901858627,0.4417472254352565
Exp3,376,Quick Sort 3-Way,0.0004826999967917801,6.900517120654443e-05,0.14295664318454687
Exp3,376,Counting Sort,0.01774274999042973,0.0030497947136829797,0.17188962902188273
Exp3,376,Merge Sort,0.0005315100075677039,6.188670280248366e-06,0.01164356304139777
Exp3,376,Sort,5.64900110475719e-05,1.4855004351486086e-05,0.2629669223993646
Exp3,403,Quick Sort,0.0005978399887681008,0.0002779016514729205,0.4648428621269716
Exp3,403,Quick Sort 3-Way,0.0005282899946905673,1.6338293064341216e-05,0.030926750891640424
Exp3,403,Counting Sort,0.018003729986958206,0.0031691557409792505,0.17602773110210873
Exp3,403,Merge Sort,0.0005990299978293478,8.216857419764656e-05,0.13716938132546547
Exp3,403,Sort,3.3680011983960864e-05,4.272809847657431e-06,0.12686485532404898
Exp3,432,Quick Sort,0.00045767000410705804,1.1853564346782937e-05,0.025899806062033626
Exp3,432,Quick Sort 3-Way,0.000580179993994534,0.00011070801857378713,0.19081667709974523
Exp3,432,Counting Sort,0.01817098001483828,0.002722614047133639,0.14983308797381173
Exp3,432,Merge Sort,0.0007825199863873422,0.00030604865863407464,0.3911065071283465
Exp3,432,Sort,7.168997544795274e-05,7.833261046352058e-05,1.0926577945390763
Exp3,464,Quick Sort,0.0005096299923025071,0.0003882285062577479,0.7617850442901377
