experiment,n,algorithm,mean_time,std_time,relative_error
Exp1,100,Quick Sort,0.00027104000037070364,1.7317970639724385e-05,0.06389451968727293
Exp1,100,Quick Sort 3-Way,0.0002664700004970655,1.616150702986317e-05,0.060650380904852176
Exp1,100,Counting Sort,0.030154420001781552,0.008915930424251877,0.2956757392025818
Exp1,100,Merge Sort,0.00012438999838195743,6.7438611455724654e-06,0.05421546131759297
Exp1,100,Sort,-5.623000615742058e-05,1.3901110829762444e-06,0.0
Exp1,107,Quick Sort,0.00015286001726053658,4.563163140546904e-06,0.029851907793320406
Exp1,107,Quick Sort 3-Way,0.0001517900120234117,6.492003166122159e-06,0.04276963338747775
Exp1,107,Counting Sort,0.019954470009543,0.00029610808139405166,0.014839185468340742
Exp1,107,Merge Sort,0.00020759000326506794,1.3029965066453263e-05,0.06276778679855569
Exp1,107,Sort,9.860002319328493e-06,1.4044165336501236e-06,0.14243572041530414
Exp1,114,Quick Sort,0.00017083000275306404,7.986607199216088e-06,0.04675178288652716
Exp1,114,Quick Sort 3-Way,0.0001592399989021942,6.511296328961446e-06,0.04088982902443191
Exp1,114,Counting Sort,0.02140723000629805,0.003850718788687373,0.1798793579344214
Exp1,114,Merge Sort,0.00021708000276703384,3.705193644391693e-06,0.01706833239894527
Exp1,114,Sort,9.569997200742367e-06,2.202821472951947e-06,0.2301799495595536
Exp1,123,Quick Sort,0.00018333000189159067,1.015195097103785e-05,0.05537528427584399
Exp1,123,Quick Sort 3-Way,0.0001776800025254488,1.1416201134154003e-05,0.06425146877470851
Exp1,123,Counting Sort,0.020091610006056727,0.0005480550093187108,0.02727780447428039
Exp1,123,Merge Sort,0.00023624999448657036,4.1876669992160484e-06,0.01772557501352279
Exp1,123,Sort,1.2609994155354797e-05,4.246988942509519e-06,0.3367954727168567
Exp1,132,Quick Sort,0.00020660000445786862,3.044664018803029e-05,0.14736998804973012
Exp1,132,Quick Sort 3-Way,0.00019436000729911027,1.1476794668052756e-05,0.05904915742460612
Exp1,132,Counting Sort,0.024725689995102586,0.007137167580869214,0.2886539296692174
Exp1,132,Merge Sort,0.0002606300025945529,1.0096950769462188e-05,0.038740554306671414
Exp1,132,Sort,1.1889997404068704e-05,1.5829105820552966e-06,0.13312959862494433
Exp1,141,Quick Sort,0.00021066000044811517,9.116189333746745e-06,0.04327441998649398
Exp1,141,Quick Sort 3-Way,0.0002679199940757826,0.0001222645694788948,0.4563473133114194
Exp1,141,Counting Sort,0.019853489997331053,0.00022999034442921734,0.011584378588355771
Exp1,141,Merge Sort,0.0002802799950586632,7.802619259595325e-06,0.027838659187796187
Exp1,141,Sort,1.274999231100083e-05,1.4246431452713263e-06,0.11173678466002908
Exp1,151,Quick Sort,0.00023327000671997667,1.2652280335061708e-05,0.054238778971056625
Exp1,151,Quick Sort 3-Way,0.00021986999781802296,6.492151997626756e-06,0.029527230008889314
Exp1,151,Counting Sort,0.019582519997493365,0.00020582938637717536,0.010510873289215192
Exp1,151,Merge Sort,0.0003027200000360608,5.985949695247327e-06,0.019773882447589406
Exp1,151,Sort,1.491999719291925e-05,4.257883213239381e-06,0.2853809661076942
Exp1,162,Quick Sort,0.00024752999888733035,7.899081593929543e-06,0.03191161325672293
Exp1,162,Quick Sort 3-Way,0.00023239000001922254,6.765527157113896e-06,0.02911281533867324
Exp1,162,Counting Sort,0.01975276000157464,0.00022182059823798512,0.011229853358229541
Exp1,162,Merge Sort,0.0003280099947005511,6.0321174532171105e-06,0.018390041616640335
Exp1,162,Sort,1.5259999781847e-05,1.5604178429571896e-06,0.10225543022703266
Exp1,174,Quick Sort,0.0002674999966984615,1.1030504104427971e-05,0.04123552987128472
Exp1,174,Quick Sort 3-Way,0.0002512700011720881,9.29117800319853e-06,0.036976869343170224
Exp1,174,Counting Sort,0.020956240003579298,0.0022119920936228906,0.10555290897818909
Exp1,174,Merge Sort,0.00035221999569330366,6.531048259924798e-06,0.01854252552320091
Exp1,174,Sort,1.754000259097665e-05,4.412491818837713e-06,0.2515673413359525
Exp1,187,Quick Sort,0.000288309992174618,5.536931057034903e-06,0.0192047837651128
Exp1,187,Quick Sort 3-Way,0.00028566000110004104,3.0460008271717553e-06,0.01066302882952456
Exp1,187,Counting Sort,0.019626749996677968,0.00019934851355305687,0.01015698032464869
Exp1,187,Merge Sort,0.00038092999602667993,5.563453201667092e-06,0.014604922845922151
Exp1,187,Sort,1.7580005805939437e-05,1.1766467229130411e-06,0.06693096327166792
