experiment,m,algorithm,mean_time,std_time,relative_error
Exp2,10,Quick Sort,-0.005897539996658452,0.009677865363491545,0.0
Exp2,10,Quick Sort 3-Way,-0.014112879996537231,0.004468821662892224,0.0
Exp2,10,Counting Sort,-0.017882209990057164,0.002483114781443893,0.0
Exp2,10,Merge Sort,0.02346813999756705,0.011488224824214256,0.4895243008353131
Exp2,10,Sort,-0.019218839998939075,0.0006569169843044342,0.0
Exp2,11,Quick Sort,0.00373214999854099,0.0003664114516890276,0.09817704321430513
Exp2,11,Quick Sort 3-Way,0.0037057400040794164,0.002514859228905823,0.6786388754033937
Exp2,11,Counting Sort,0.0010922999994363637,0.00026272580053522665,0.24052531417265904
Exp2,11,Merge Sort,0.031876629998441784,0.0004031519347954296,0.012647257091327935
Exp2,11,Sort,0.0008264799980679527,0.00014611370533642437,0.17679037082324042
Exp2,12,Quick Sort,0.0038143300014780836,0.0005290212263646849,0.1386930931932174
Exp2,12,Quick Sort 3-Way,0.0025140699959592893,0.0002851213581928573,0.11341027045830682
Exp2,12,Counting Sort,0.0007013099908363071,0.00016836874127513818,0.2400774885216731
Exp2,12,Merge Sort,0.032319879994611264,0.001115821987117048,0.03452432333607335
Exp2,12,Sort,0.0013589199981652196,0.002051836422607697,1.5099022940114475
Exp2,14,Quick Sort,0.0035554500005673616,0.0003768196141604216,0.10598366285569774
Exp2,14,Quick Sort 3-Way,0.001887539992458187,0.00010931537372037776,0.05791420269618437
Exp2,14,Counting Sort,8.278999303001875e-05,0.0001144392549549563,1.3822836645663428
Exp2,14,Merge Sort,0.036085929995169866,0.011317933082668968,0.3136383926972059
Exp2,14,Sort,-0.0001294800109462816,0.0001403159933614856,0.0
Exp2,15,Quick Sort,0.00518908999802079,0.001554871259396738,0.29964237659971077
Exp2,15,Quick Sort 3-Way,0.00296950000920333,0.0005016362818427073,0.16892954379120828
Exp2,15,Counting Sort,0.000805219996254891,3.883039650762988e-05,0.04822333857608049
Exp2,15,Merge Sort,0.032707230001688,0.0025027131269498262,0.0765186512835438
Exp2,15,Sort,0.0007401100039714946,0.00022779517583545713,0.307785565136383
Exp2,17,Quick Sort,0.004676380002638325,0.0004724454547825844,0.10102802905581659
Exp2,17,Quick Sort 3-Way,0.0029450499976519497,0.0001903256504351593,0.06462560927213577
Exp2,17,Counting Sort,0.0009206400020048023,0.00012196569191283531,0.13247924448996418
Exp2,17,Merge Sort,0.03201041000138503,0.00014484108564958873,0.004524811948466819
Exp2,17,Sort,0.0007943800097564236,9.944771692187306e-05,0.1251890980393202
Exp2,20,Quick Sort,0.004827489994931966,0.0003425063296151228,0.07094915369574988
Exp2,20,Quick Sort 3-Way,0.004042590002063662,0.0020473607091303497,0.5064477743439757
Exp2,20,Counting Sort,0.0007305099949007852,7.906673592005351e-05,0.10823498168672152
Exp2,20,Merge Sort,0.03231877999205608,0.0003634520239925009,0.011245846040037309
Exp2,20,Sort,0.000547239987645298,0.00010218448724720729,0.18672701109963427
Exp2,22,Quick Sort,0.005316039998433552,0.0005132548949361626,0.09654835085653994
Exp2,22,Quick Sort 3-Way,0.003379079996375367,0.0002334826280684009,0.0690965080195942
Exp2,22,Counting Sort,0.0011871600057929755,0.00011357232291049163,0.0956672414470616
Exp2,22,Merge Sort,0.032473750005010515,0.0002380415510477383,0.007330276023280644
Exp2,22,Sort,0.0011861200007842853,0.00011719711150181067,0.09880712864155203
Exp2,25,Quick Sort,0.005189489995245822,0.000447055600805974,0.08614634602157997
Exp2,25,Quick Sort 3-Way,0.003352379993884824,0.00017196608184545263,0.051296715216992424
Exp2,25,Counting Sort,0.0007309999986318874,9.390418216050567e-05,0.1284598937568444
Exp2,25,Merge Sort,0.033778279990656294,0.0033297026853290937,0.09857525860553444
Exp2,25,Sort,0.0007909499923698608,9.09993270020017e-05,0.11505067056053396
Exp2,28,Quick Sort,0.00572010000469163,0.00042833912253345107,0.07488315277392475
Exp2,28,Quick Sort 3-Way,0.00384139999805484,0.0004222045279676762,0.10990902488193546
Exp2,28,Counting Sort,0.0007132400001864877,9.834330826920448e-05,0.1378824915084559
Exp2,28,Merge Sort,0.032139109994750475,0.00012776299739317075,0.003975312241503864
Exp2,28,Sort,0.0008181999961379912,0.00011558463731080151,0.14126697366948887
Exp2,31,Quick Sort,0.005837520005297847,0.0004614962588514589,0.07905690403332709
Exp2,31,Quick Sort 3-Way,0.0036195300053805113,0.00023395283241887092,0.06463624616209697
Exp2,31,Counting Sort,0.0008978700032457709,0.00021322488419787226,0.23747856975628012
